name,tel,url,addr1,addr2,city,zip,longitude,latitude
Storefront For Art and Architecture,(212) 431-5795,http://www.storefrontnews.org/,97 Kenmare St,,New York,10012,-73.9970683,40.72147743
"Stricoff Fine Art, Ltd.",(212) 219-3977,http://www.stricoff.com/,564 W 25th St,,New York,10001,-74.00571078,40.74989328
Studio Gallery,(212) 579-4654,http://www.merchantcircle.com/business/Studio.Gallery.212-579-4654,205 W 88th St,,New York,10024,-73.97428548,40.78933483
Studio Tamar,(212) 529-4247,http://www.upspring.com/studio-tamar-new-york-ny.html,152 E 22nd St,,New York,10010,-73.98429766,40.73821552
Stux Gallery,(212) 352-1600,http://www.stuxgallery.com,530 W 25th St,,New York,10001,-74.0048092,40.74932239
Sugarhill Arts Center,(212) 491-5890,http://www.theartproject.net/pages/126yp_awaken.htm,3658 Broadway,,New York,10031,-73.94709267,40.8302204
Suite 106,(212) 274-9166,http://www.art-search.us/listing/22923/suite-106-gallery,112 Mercer St,,New York,10012,-73.99892431,40.72359612
Sun Yi Jun,(212) 625-1910,http://www.nyc.com/arts__attractions/sun_yi_jun.821/editorial_review.aspx,83 Bowery,,New York,10002,-73.99534581,40.71676282
Susan Aberbach Fine Art,(212) 207-4600,http://www.saberbach.com/site.html,41 E 57th St,,New York,10022,-73.97168389,40.76228905
Susan Megson Gallery,(212) 254-8090,http://web2.userinstinct.com/31111920-susan-megson-gallery.htm,456 W Broadway,,New York,10012,-74.00081321,40.7262492
Susan Rolfe Associates Fine Arts Ltd,(212) 688-7184,http://www.merchantcircle.com/business/Susan.Rolfe.Associates.Fine.Arts.Limited.212-688-7184,654 Madison Ave,,New York,10021,-73.97111034,40.7644843
Susan Sheehan Gallery,(212) 489-3331,http://www.susansheehangallery.com/,535 West 22nd Street,3rd Floor,New York,10011,-74.00605482,40.74791171
Sutherland M,(212) 249-0428,http://www.artnet.com/gallery/155971/m-sutherland-fine-arts-ltd.html,620 Park Ave,,New York,10021,-73.96722779,40.76696025
Swiss Institute,(212) 925-2035,http://www.swissinstitute.net/,495 Broadway,3rd Fl,New York,10012,-74.00006289,40.72224748
Taglialatella Dominic J,(212) 367-0881,http://gallerydriver.com/?method=Gallery.GalleryDetail&GalleryID=489CDBF0-3048-28EB-923E29A3CAFD93E0,511 West 25th Street,2nd Floor,New York,10001,-74.00394584,40.7495251
Takako Tsuji Gallery,(212) 231-1778,http://trustedplaces.com/review/us/ny/new-york/cultural/1415l81/takako-tsuji-gallery,41 E 57th St,,New York,10022,-73.97173794,40.76221205
Talwar Gallery,(212) 673-3096,http://www.talwargallery.com/,108 E 16th St,Fl 3,New York,10003,-73.98882749,40.73545815
Tambaran Gallery,(212) 570-0655,http://www.tambaran.com/,5 E 82nd St,,New York,10028,-73.96139899,40.77879669
Tang Sarina,(212) 517-7401,http://www.merchantcircle.com/business/Tang.Sarina.212-517-7401,3 E 76th St,,New York,10021,-73.96443414,40.77499081
Tanya Bonakdar Galery,(646) 638-9471,http://www.livevillage.com/newyork/art/tanya-bonakdar-galery.html,521 W 21st St,,New York,10011,-74.00619628,40.74717188
Tate,(212) 242-9888,http://www.yelp.com/biz/tate-new-york,413 W 14th St,Ste 3,New York,10014,-74.00618826,40.74160877
Tatistcheff Gallery Inc,(212) 664-0907,http://www.artinfo.com/galleryguide/13109/1619/tatistcheff-gallery-new-york/visit/,529 West 20th Street,6th Floor,New York,10011,-74.00694992,40.74659365
Team Gallery,(212) 279-9219,http://www.teamgal.com/,527 W. 26th St.,,New York,10001,-74.0039373,40.75021954
Teller Susan Gallery,(212) 941-7335,http://www.susantellergallery.com/,568 Broadway,,New York,10012,-73.99746436,40.72429066
Tenri Cultural Institute,(212) 645-2800,http://www.tenri.org/,43A W. 13th St.,1st Fl.,New York,10011,-73.99609362,40.73640267
Thaw E V & Co,(212) 535-6333,http://www.artinfo.com/galleryguide/12003/489/ev-thaw--co-inc/visit/,726 Park Ave,# 730,New York,10021,-73.96487148,40.77042623
The Affordable Art Fair Llc,(212) 255-2003,http://www.nyc.com/arts__attractions/the_affordable_art_fair_llc.1679/editorial_review.aspx,216 W 18th St,Ph,New York,10011,-73.99907019,40.74128145
The Axa Gallery,(212) 554-4818,http://axagallery.com/index.html,787 7th Ave,,New York,10019,-73.9817828,40.76169418
The Bohen Foundation,(212) 414-4575,http://ny.citysquares.com/manhattan/meatpacking-district/arts-entertainment/artists-art-dealers/the-bohen-foundation,415 W 13th St,,New York,10014,-74.00650281,40.74080796
The Chinese Art Gallery,(212) 759-1153,http://www.411.info/business/New-York/New-York/The-Chinese-Art-Gallery-Ltd/8957246-13714534.html,1050 2nd Ave,,New York,10022,-73.96565695,40.75795522
The Dollhaus Art Gallery,(718) 486-0330,http://www.dollhaus.org/press/NYPress.htm,37 Broadway,,Brooklyn,11211,-73.96728726,40.71090184
The Gallery 172,(718) 861-3571,http://www.elfwood.com,1620 E 172nd St,,Bronx,10472,-73.8749194,40.8315804
The Old Print Shop Inc,(212) 683-3950,http://www.oldprintshop.com/cgi-bin/gallery.pl?action=exhibits&exhibit_id=53,150 Lexington Ave,,New York,10016,-73.98210768,40.74374126
The Phatory Llc,(212) 777-7922,http://www.thephatory.com/,618 E 9th St,,New York,10009,-73.97947469,40.72572166
The Q Department,(212) 219-3304,http://www.qdepartment.com/commercial.php,28 Howard St,,New York,10013,-74.00036768,40.71966311
The Scene Gallery,(212) 674-0508,http://newyork.citysearch.com/profile/11583862/new_york_ny/the_scene_gallery.html,42 Rivington St,,New York,10002,-73.99097517,40.72106206
Thicket,(212) 343-2849,http://outside.in/tribeca-manhattan-ny/thicket,10 Leonard St,,New York,10013,-74.00824905,40.71858122
Think Art Gallery,(212) 695-2006,http://www.nyc.com/arts__attractions/think_art_gallery.1775/editorial_review.aspx,336 W 37th St,,New York,10018,-73.99403189,40.75466722
Thomas & Hirsch,(212) 625-2011,http://www.nyc.com/arts__attractions/thomas__hirsch.597/map_location.aspx,375 W Broadway,,New York,10012,-74.0022847,40.72343124
Thomas Erben Gallery,(212) 645-8701,http://www.thomaserben.com/index.php,526 W 26th St,,New York,10001,-74.00429401,40.74989644
Thomson C Art,(212) 249-0242,http://local.botw.org/New_York/New_York/Thompson_C_Art/141792657.html,19 E 75th St,,New York,10021,-73.9643099,40.77400673
Three East Third St Corp,(212) 533-7749,http://ny.citysquares.com/manhattan/east-village/arts-entertainment/artists-art-dealers/three-east-third-st-corp,3 E 3rd St,,New York,10003,-73.99127036,40.72631717
Throckmorton Fine Arts,(212) 223-1059,http://www.throckmorton-nyc.com/,145 E. 57th St.,3rd Fl.,New York,10022,-73.9684469,40.76094893
Tilton Jack Gallery,(212) 941-1775,http://www.artseensoho.com/Art/TILTON/tilton.html,47 Greene St,,New York,10013,-74.00200058,40.72225087
Time Is Always Now,(212) 343-2211,http://www.yelp.com/biz/time-is-always-now-peter-beard-carnets-africans-new-york,476 Broome St.,,New York,10013,-74.00165246,40.72303601
Tk Oriental Antiques,(212) 980-6416,http://newyork.maplist.org/viewthread.php?tid=412663,41 E 57th St,,New York,10022,-73.97182904,40.76234556
Tobey Fine Art,(212) 431-7878,http://www.artnet.com/gallery/140739/tobey-fine-arts.html,580 Broadway,,New York,10012,-73.99703668,40.72443535
Ton Ying & Co,(212) 751-0134,http://www.hatii.arts.gla.ac.uk/admn/php/carp/essay1.php?enum=1096638570,1050 2nd Ave,Rm 87,New York,10022,-73.96571788,40.75808113
Tonal Motion Inc,(212) 719-4393,http://tonalmotion.org/main.html,1026 Avenue of the Americas,,New York,10018,-73.98546139,40.75245457
Tonkonow Leslie,(212) 255-8450,http://www.villagevoice.com/locations/leslie-tonkonow-artworks-projects-145055/,535 W 22nd St,,New York,10011,-74.00615109,40.74795822
Tower Art Gallery,(212) 571-0100,http://www.nelso.com/us/place/50980/,7 Maiden Ln,,New York,10038,-74.00950849,40.70983828
Traditional Art Gallery Inc,(212) 593-0350,http://www.getfave.com/locations/844915-traditional-art-gallery-inc,1050 2nd Ave,,New York,10022,-73.96585513,40.75803479
Triangle Editions,(212) 355-3754,http://www.getfave.com/locations/915361-triangle-editions,111 E 62nd St,,New York,10021,-73.96777316,40.76471075
Tribes Gallery,(212) 674-8262,http://www.tribes.org/web/,285 E. Third St.,,New York,10009,-73.97988408,40.72155551
Triple Candie,(212) 865-0783,http://artcritical.com/fyfe/JFNoland.htm,461 W 126th St,,New York,10027,-73.95506322,40.81374658
Triton Collection the,(212) 594-9590,http://www.tritonjewelry.com/home.php,224 12th Ave,,New York,10001,-74.00704894,40.75257912
Troubetzkoy Paintings,(212) 473-4047,http://www.troubetzkoypaintings.com/,366 E 8th St,,New York,10009,-73.97777959,40.72422992
Tunick David,(212) 570-0090,http://www.ifpda.org/content/node/2617,19 East 66th Street,,New York,10065,-73.96849023,40.76833078
Turkana Gallery,(212) 732-0273,http://www.tribal-kilims.com/links.asp,125 Cedar St,,New York,10006,-74.01245255,40.70976778
Ubu Gallery,(212) 753-4444,http://ubugallery.com/phpwcms/index.php?current,416 EAST 59 STREET,,New York,10022,-73.9612439,40.75904778
Under Minerva,(718) 788-0170,http://blog.underminerva.com/,656 5th Ave,,Brooklyn,11215,-73.99264059,40.66242445
Up & Co,(212) 966-7847,http://www.verystyleguide.com/upandco/,257 Church St,,New York,10013,-74.00525334,40.71803596
Uptown Gallery the,(212) 722-3677,http://www.uptowngallerynyc.com/,1194 Madison Ave,,New York,10128,-73.95834181,40.78195083
Urban Architecture Gallery of Applied Arts Inc,(718) 349-3837,http://www.urbanarchitecture.us/,1205 Manhattan Ave,,Brooklyn,11222,-73.9556829,40.73872
"Ursus Books & Prints, Ltd.",(212) 744-1600,http://www.ursusbooks.com/,981 Madison Ave.,,New York,10021,-73.96314948,40.77455057
Valenzi Gallery & Framing,(718) 274-1419,"http://www.yellowbot.com/tags/frame/New%20York,%20NY%2011105/page1.html",2904 23rd St,,Astoria,11102,-73.92609137,40.76975797
Van De Weghe Fine Art,(212) 929-6633,http://www.re-title.com/exhibitions/archive_VANDEWEGHEFINEART3915.asp,521 W 23rd St,,New York,10011,-74.00485832,40.74829506
Vance Jordan Fine Art,(212) 570-9500,http://www.russianyellowpages.com/business/Vance_Jordan_Fine_Art,958 Madison Ave,,New York,10001,-73.96412402,40.77407623
Veranda Design,(212) 724-5156,http://66.111.11.24/arts__attractions/veranda_design.973/editorial_review.aspx,225 W 83rd St,,New York,10024,-73.97719259,40.78627113
Verona Arts Ltd,(212) 317-1010,http://www.merchantcircle.com/blogs/Verona.Arts.LTD.212-317-1010,603 5th Ave,,New York,10017,-73.97755224,40.7574937
Viart Corporation,(212) 752-3500,http://www.viartcorp.com/,120 E 56th St,,New York,10022,-73.970647,40.76043004
Vick Corporate Art Advisors,(212) 414-1976,http://vickartadvisors.com/,210 11th Ave,Rm 808,New York,10001,-74.00577307,40.74980455
Vieille Russie Inc Antiqs & Jwlry,(212) 752-1727,http://www.artantiquedealersleague.org/dealerdetails.asp?dealerID=5,781 5th Ave,,New York,10022,-73.97253002,40.76431012
Vietnam Art Design,(212) 431-8889,http://www.galleryvietnam.com/,345 Greenwich St,,New York,10013,-74.0101257,40.71840386
Viewpoint Gallery,(212) 242-5478,http://www.viewpointgallery.com/contact.php,41 Union Sq W,Ph,New York,10003,-73.99068945,40.73711799
Vincent Fremont Enterprises,(212) 414-1881,http://www.manta.com/coms2/dnbcompany_6xq3v8,1 Union Sq W,Ste 307,New York,10003,-73.99187771,40.73550087
Viridian Artists Inc,(212) 414-4040,http://www.viridianartists.com/new/index.cfm,530 W 25th St,,New York,10001,-74.00472764,40.74929138
Visage Studios,(212) 391-0131,http://ny.serviceslisted.com/1654518-VisageStudios.htm,12 West 37th Street,Rm 1211,New York,10018,-73.98424841,40.75055103
Visual Arts Gallery,(212) 598-0221,http://www.nyc.com/arts__attractions/visual_arts_gallery.235/whats_nearby.aspx,137 Wooster St,,New York,10012,-74.00014431,40.7259206
Volpe Organization,(212) 227-7913,http://www.shopinmanhattan.com/map.asp?mid=10584753&subCat=art+galleries,100 W End Ave,,New York,10023,-73.98809617,40.77482589
Wada Takashi Gallery,(212) 586-8979,http://www.city-data.com/businesses/884092230-takashi-wada-gallery-new-york-ny.html,350 W 50th St,,New York,10019,-73.98849961,40.76290655
Wade Maxx Art Gallery,(212) 579-6529,http://www.wademaxx.com/,191 Columbus Ave,,New York,10023,-73.98013755,40.7752092
Wally Findlay Galleries,(212) 421-5390,http://www.wallyfindlay.com/,124 E 57th St,,New York,10022,-73.96978732,40.76088973
Ward-Nasse Gallery,(212) 925-6951,http://www.wardnasse.org/,178 Prince St,,New York,10012,-74.00206949,40.72612435
Washburn Galleries,(212) 397-6780,http://www.washburngallery.com/,20 W 57th St,Lbby,New York,10019,-73.9754894,40.76329173
Washington Sq Outdoor Art Exhibit Inc,(212) 982-6255,http://www.washingtonsquareoutdoorartexhibit.org/,115 E 9th St,,New York,10003,-73.98955957,40.73055351
Webster David,(212) 367-8120,http://www.7mainstreet.com/business/unclaimed/webster-david-new-york-ny-10001/14671913,448 W 16th St,,New York,10011,-74.00604994,40.74255494
Weisbrod Chinese Art Ltd,(212) 319-1335,http://www.weisbrodltd.com/wsbhome.html,36 E 57th St,,New York,10022,-73.97195658,40.76183606
Wellesley the,(212) 288-2666,http://www.nyc.com/arts__attractions/wellesley_the.795/whats_nearby.aspx,200 E 72nd St,,New York,10021,-73.96043137,40.76937887
Wessel & O'Connor,(212) 242-8811,http://www.wesseloconnor.com/,242 W. 26th St.,,New York,10011,-73.99604272,40.74658362
Westbeth Gallery,(212) 989-4650,http://www.westbeth.org/,55 Bethune St,# 318-C,New York,10014,-74.00892207,40.73681609
Western Art Collectors Society,(718) 351-5268,http://www.americaonwheels.com/NewYork/WESTERN_ART_COLLECTORS_SOCIETY,1374 Richmond Rd,,Staten Island,10304,-74.09740511,40.5952498
Westwood Gallery,(212) 925-5700,http://www.westwoodgallery.com/,568 Broadway,,New York,10012,-73.99734434,40.72442296
Weybridge Fine Art,(212) 628-5445,http://ny.citysquares.com/manhattan/chelsea/arts-entertainment/artists-art-dealers/weybridge-fine-art-30-e-81-madison-ave,30 E 81st St,,New York,10028,-73.96097806,40.77737493
Whas Cultural Art Center Inc,(212) 569-2224,http://www.ziphip.com/whas+cultural+art+center+inc.9.7203168p.home.html,4450 Broadway,,New York,10040,-73.93249803,40.85624733
White Box,(212) 714-2347,http://www.whiteboxny.org/,525 W. 26th St.,,New York,10001,-74.00398261,40.75032291
White Columns Inc,(212) 924-4212,http://newyork.going.com/venue-3874;White_Columns_Inc,320 W 13th St,,New York,10014,-74.00412299,40.73907339
Whitfield James Fine Art,(212) 982-8050,http://www.facebook.com/pages/London-United-Kingdom/Whitfield-Fine-Art/184172920606,107 University Pl,,New York,10003,-73.99223345,40.73415172
Wickiser Walter Gallery Inc,(212) 941-1817,http://www.walterwickisergallery.com/,210 Eleventh Avenue,Suite 303,New York,10001,-74.00583422,40.74970893
Willow Woodstock Artistic Enterprises,(212) 677-6547,http://www.yelp.com/biz/willow-woodstock-artistic-enterprises-new-york,92 Saint Marks Pl,,New York,10009,-73.98503774,40.72731799
Wilmer Jenning Gallery,(212) 505-6771,http://www.merchantcircle.com/business/Wilmer.Jenning.Gallery.212-505-6771,215 E 2nd St,,New York,10009,-73.98297564,40.72158811
Winston Wachter Mayer Fine Art,(212) 255-2718,http://www.winstonwachter.com/,530 W 25th St,# 102,New York,10001,-74.00469934,40.74947055
Winter Works On Paper,(718) 599-0910,http://www.winterworksonpaper.com/about.htm,167 North 9th Street,,Brooklyn,11211,-73.95596899,40.71884386
Wolf Daniel Inc,(212) 772-7721,http://www.manta.com/coms2/dnbcompany_d947yw,52 E 78th St,,New York,10021,-73.96208739,40.77515497
Woodward Gallery,(212) 966-3411,http://www.woodwardgallery.net/,133 Eldridge Street,,New York,10002,-73.99181719,40.71901344
WORLD AFRICA,(212) 781-1872,http://manhattan.ny.povo.com/World_Africa,779 RIVERSIDE DR,APT A60,New York,10032,-73.94753651,40.83514504
World Art Center,(212) 791-4941,http://www.merchantcircle.com/business/World.Art.Center.212-791-4941,104 Nassau St,,New York,10038,-74.00717582,40.71059949
Yancey Richardson Gallery,(646) 230-9610,http://www.yanceyrichardson.com/,535 W 22nd St,,New York,10011,-74.00606502,40.74799009
Yasuda Fine Arts Inc,(212) 977-7966,http://www.localartdealers.com/New-York/Yasuda-Fine-Arts-Incorporated-25075.html,15 W 53rd St,,New York,10019,-73.9776035,40.76154759
Yorks Shona Gallery,(212) 431-7444,http://yorksshonagallery.com/,99 Spring St,,New York,10012,-73.99930952,40.72346095
Yorkville Art Gallery & Framing,(212) 423-0604,http://www.merchantcircle.com/business/Yorkville.Art.Gallery.And.Framing.212-423-0604,1687 3rd Ave,,New York,10128,-73.94977563,40.78412567
Yoshii Gallery,(212) 744-5550,http://www.yoshiigallery.com/,980 Madison Avenue,3rd Floor,New York,10075,-73.96353645,40.77472916
Yung Hee Kim,(212) 734-0009,http://www.linkedin.com/pub/yunghee-kim/11/847/188,945 5th Ave,,New York,10021,-73.9650305,40.77480195
Zabriskie Gallery,(212) 752-1223,http://www.zabriskiegallery.com/,41 W 57th St,Fl 4,New York,10019,-73.97608678,40.76417706
Zarre Andre Gallery,(212) 255-0202,http://www.andrezarrefineart.com/index.html,529 W 20th St,,New York,10011,-74.00694053,40.74665656
Zetterquist Galleries,(212) 751-0650,http://web.mac.com/zetterquist/Qingbai_Wares/Home.html,3 East 66th Street,#1B,New York,10065,-73.96909886,40.76855091
Zito Studio Gallery,(646) 602-2338,http://www.merchantcircle.com/business/Zito.Studio.Gallery.646-602-2338,122 Ludlow St,,New York,10002,-73.98835222,40.71959638
Zwirner & Wirth,(212) 517-8677,http://www.zwirnerandwirth.com/,32 E. 69th St.,,New York,10021,-73.96656358,40.76947535
Zwirner David Gallery,(212) 727-2070,http://www.davidzwirner.com/,525 W 19th St,,New York,10011,-74.00696818,40.74589496
Priska C. Juschka Fine Art Inc,(212) 244-4320,http://www.priskajuschkafineart.com/,547 W 27th St,,New York,10001,-74.00436441,40.7512663
1 2 3 Watts Gallery,(212) 219-1482,http://www.123watts.com/,123 Watts St,,New York,10013,-74.00902349,40.72385717
12 Below,(212) 777-6777,http://www.upspring.com/12-below-new-york-ny-map.html,853 Broadway,,New York,10003,-73.99106783,40.73460139
14 Sculptors Gallery,(212) 966-5790,http://www.14sculptors.com/,168 Mercer St,,New York,10012,-73.99752291,40.72525532
1405 Art Gallery,(212) 717-4025,http://artframenj.com/,1405 2nd Ave,,New York,10021,-73.95798347,40.76974722
2 Welancora Gallery,(718) 919-0344,http://www.welancora.com/,410 Jefferson Ave,,Brooklyn,11221,-73.94151974,40.6840779
280 Modern,(212) 941-5825,http://attractions.uptake.com/museums/new_york/ridgewood/280_modern_17617828.html,1875 Dekalb Ave,,Ridgewood,11385,-73.91448247,40.70924363
3 Costantino Fioratti Helen C,(212) 517-9176,http://www.lantiquaire.us/mirrors-in-renaissance-period.html,36 E 73rd St,,New York,10021,-73.96468514,40.77217101
303 Gallery,(212) 255-1121,http://www.303gallery.com/,547 W 21st Street,,New York,10011,-74.00709988,40.74748973
33rd St Galleria,(212) 273-9673,http://www.superpages.com/bp/New-York-NY/33rd-Street-Galleria-L2016404930.htm,401 7th Ave,,New York,10001,-73.99086173,40.74998474
33rd Street Galleria,(212) 760-1228,http://gallerydriver.com/?method=Gallery.GalleryDetail&GalleryID=489C0F17-3048-28EB-92D57971418D832F,131 W 33rd St,Lbby,New York,10001,-73.98967644,40.74995773
4 Chambers Fine Art,(212) 414-1169,http://www.chambersfineart.com/en/calendar/2009-2-bj.html,522 West 19th Street,,New York,10011,-74.00711819,40.74548098
5 Robin Rice Gallery,(212) 366-6660,http://www.robinricegallery.com/galleryinformation/index.html,325 W 118th St,,New York,10026,-73.95513651,40.8060391
531 Artspace,(718) 388-6087,http://newyork.citywaboo.com/business/2200841/531_Artspace-in-Brooklyn-NY_11222-4852.html,531 Graham Ave,,Brooklyn,11222,-73.94713438,40.72132182
73 St Farmers Market,(212) 879-3500,http://www.nyc.com/arts__attractions/73_st_farmers_market.1808/whats_nearby.aspx,1368 York Ave,,New York,10021,-73.95301546,40.76730472
A Clean Well Lighted Place Inc,(212) 255-3656,http://www.merchantcircle.com/business/A.Clean.Well.Lighted.Place.Inc.New.York.NY.1.212-255-3656,363 Bleecker St,,New York,10014,-74.00455563,40.73453611
A J ARTS LTD,(718) 763-5473,http://yp.blogflux.com/directory/us/new-york/brooklyn/a-j-arts-ltd-6208-mill-ln/,6208 MILL LN,,Brooklyn,11234,-73.91691325,40.61860965
A.I.R. Gallery,(212) 966-0799,http://www.artseensoho.com/Art/AIR/air.html,40 Wooster St,,New York,10013,-74.00247724,40.72220574
AAA-Abbey Mdsng Co Inc,(718) 253-8830,http://yp.blogflux.com/directory/us/new-york/brooklyn/aaaabbey-mdsng-co-inc/,618 Coney Island Ave,,Brooklyn,11218,-73.96993064,40.64223849
Abada Felix Inc,(212) 427-8731,http://www.nyc.com/arts__attractions/abada_felix_inc.468/whats_nearby.aspx,1556 3rd Ave,,New York,10128,-73.95369907,40.77982819
Aberbach Fine Art,(212) 988-1100,http://www.saberbach.com/site.html,41 E 57th Street,14th Floor Suite1401,New York,10022,-73.97156739,40.76234165
Aca Galleries,(212) 206-8080,http://www.acagalleries.com/,529 W 20th St,,New York,10011,-74.00671307,40.74666372
Ace Gallery,(212) 255-5599,http://www.acegallery.net,275 Hudson St,,New York,10013,-74.0080057,40.72518059
Acquavella Galleries Inc,(212) 734-6300,http://www.acquavellagalleries.com/,18 E 79th St,,New York,10021,-73.96264903,40.776242
Adam Baumgold Fine Art,(212) 861-7338,http://www.adambaumgoldgallery.com/,74 E. 79th St.,,New York,10021,-73.9610758,40.77566375
Adam Williams Fine Art Ltd,(212) 249-4987,http://www.adam-williams.com/DesktopDefault.aspx?tabid=20,24 East 80th Street,,New York,10075,-73.96206754,40.77696724
Adams Fund Art Buyers,(212) 873-2633,http://www.yellowspinny.com/adams+fund+art+buyers/bus-16396/,330 W 72nd St,Bsmt,New York,10023,-73.98593597,40.78013539
Adams George Gallery,(212) 644-5665,http://www.ikarma.com/biz/New+York/New+York/Adams+George+Gallery/%28212%29644-5665/,41 W 57th St,Lbby,New York,10019,-73.97614893,40.76409153
Adelson Galleries,(212) 439-6800,http://www.adelsongalleries.com/,219 E 82nd St,,New York,10028,-73.95485348,40.77602747
Adler & Conkright Fine Art Llc,(212) 772-7509,http://www.adlerconkrightarts.com/,24 E 71st St,,New York,10021,-73.96624092,40.77097524
African Arts Center Inc,(212) 244-6914,http://yp.blogflux.com/directory/us/new-york/new-york/african-arts-center-inc/,615 W 27th St,,New York,10001,-74.00566649,40.75191958
Africart Motherland Inc,(212) 368-6802,http://local.botw.org/New_York/New_York/Africart_Motherland_Inc/77934896.html,2478 Frederick Douglas Blvd,,New York,10027,-73.94739591,40.81484874
Agora Gallery,212-226-4151,http://www.agora-gallery.com/,530 W 25th St,,New York,10001,-74.00462798,40.74943954
Akira Ikeda Gallery,(212) 366-5449,http://www.akiraikedagallery.com/,17 Cornelia St,,New York,10014,-74.0019872,40.73159806
Alan Brasington Inc,(212) 366-9996,http://www.nyc.com/arts__attractions/alan_brasington_inc.187/editorial_review.aspx,23 8th Ave,,New York,10014,-74.00465112,40.73792128
Alaska on Madison,(212) 879-1782,http://www.alaskaonmadison.com/,1065 Madison Ave,,New York,10028,-73.96107281,40.77729595
Alexander and Bonin,(212) 367-7474,http://www.alexanderandbonin.com/,132 10th Ave,,New York,10011,-74.00599211,40.7446874
Alexander's Sculptural Svce,(212) 867-8866,http://www.nyc.com/arts__attractions/alexanders_sculptural_svce.1805/whats_nearby.aspx,117 E 39th St,,New York,10016,-73.97794942,40.74998353
Alexandre Gallery,(212) 755-2828,http://www.alexandregallery.com,41 E 57th St,,New York,10022,-73.97161806,40.76226849
Alliance of Queens Artists,(718) 520-9842,http://www.arts4u.org/,99-10 Metropolitan Ave.,,Forest Hills,11375,-73.85334629,40.71066978
Blum Peter-Blum Arts,(212) 343-0441,http://peterblumgallery.com/exhibitions,99 Wooster St,,New York,10012,-74.00107688,40.7245907
Alter Silver Gallery Corp,(212) 750-1928,http://www.ikarma.com/biz/New+York/New+York/Alter+Silver+Gallery+Corporation/%28212%29750-1928/,1050 2nd Ave,,New York,10022,-73.96574831,40.75820702
American European Fine Art Inc,(212) 517-4010,http://www.artincontext.org,115 E 89th St,,New York,10128,-73.95473278,40.78188518
American Fine Arts Co,(212) 941-0401,http://www.nileguide.com/destination/new-york/things-to-do/american-fine-arts-co/507977,530 W 22nd St,,New York,10011,-74.0061075,40.74749327
American Folk Art Museum - Eva and Morris Feld Gallery,(212) 595-9533,http://www.folkartmuseum.org/default.asp?id=509,2 Lincoln Square,,New York,10023,-73.98142236,40.77314532
Ameringer & Yohe Fine Arts,(212) 445-0051,http://www.ameringer-yohe.com/,525 West 22nd Street,,New York,10011,-74.00570231,40.7476769
Amos Eno Gallery,(718) 237-3001,http://www.amoseno.org/,111 Front Street,,Brooklyn,11201,-73.98909224,40.70283986
An American Space,(212) 426-2879,http://www.artinfo.com/galleryguide/11631/119/an-american-space-gallery/visit/,118 E 92nd St,,New York,10128,-73.95373195,40.78347688
Ancient Art of the New World Inc,(212) 737-3766,http://www.manta.com/coms2/dnbcompany_6k57c8,525 E 72nd St,,New York,10021,-73.95334299,40.76900976
Andover Gallery,(212) 473-1722,http://new_york.ny.ooberunder.com/7385653-andover.gallery,60 Rivington St,,New York,10002,-73.99023923,40.72083117
Andrew Edlin Gallery,(212) 206-9723,http://edlingallery.com/,134 Tenth Avenue,,New York,10011,-74.00584416,40.74469818
Andy Warhol Authentication Board Inc,(212) 727-1735,http://www.warholfoundation.org/legacy/authentication_procedure.html,525 W 20th St,,New York,10011,-74.00657819,40.74649764
Angel Orensanz Foundation,(212) 780-0175,http://www.orensanz.org/home.php,172 Norfolk St,,New York,10002,-73.98566579,40.72114259
Anita Friedman Fine Arts,(212) 472-1527,http://www.artnet.com/gallery/406/anita-friedman-fine-arts.html,980 Madison Ave,,New York,10021,-73.96348525,40.77479505
Annex the,(646) 638-3785,http://oneartworld.com/The+Annex.html,601 W 26th St,,New York,10001,-74.00726919,40.75175124
Annie Yau Gallery,(212) 580-2980,http://www.upnext.com/venue/new-york-recreation/annie-yau-gallery/11640.htm,173 W 88th St,,New York,10024,-73.97318629,40.78882752
Annina Nosei Gallery,(212) 741-8695,http://www.patrickgrant.net/genome_angallery.htm,528 W 22nd St,,New York,10011,-74.00603307,40.74745711
Anthony Grant Inc,(212) 755-0434,http://anthonygrantinc.com/Movie1_LANY.swf,37 W 57th St,,New York,10019,-73.97595129,40.76403092
Antik,(212) 343-0471,http://www.antik-nyc.net/,104 Franklin St,,New York,10013,-74.00559643,40.71861368
Antiquarium Fine Ancient Arts Gallery Ltd,(212) 734-9776,http://local.botw.org/New_York/New_York/Antiquarium_Fine_Ancient_Arts_Gallery_LTD/950985.html,948 Mad Ave,,New York,10001,-73.96448584,40.7737083
Anton Kern Gallery Inc,(212) 965-1706,http://antonkerngallery.com/artist.php?aid=16,532 W 20th St,,New York,10011,-74.00716258,40.74626699
Apex Art,(212) 431-5270,http://www.apexart.org/,291 Church St,,New York,10013,-74.00442891,40.71902942
April's Gallery,(212) 694-4538,http://find.mapmuse.com/details/art-galleries/9528834/aprils-gallery,501 W 145th St,,New York,10031,-73.94779848,40.82550711
Arader W Graham Gallery,(212) 628-3668,http://www.aradergalleries.com/,29 E 72nd St,,New York,10021,-73.96506781,40.77191981
Arash Gallery,(212) 759-4999,http://www.leftlinks.org/photography/main.php,1051 2nd Ave,,New York,10022,-73.96632495,40.75835498
